"Year","Species.n","Age","M2"
2004,24,1,2.19368733007664
2004,26,1,0
2004,23,1,0.583120431683775
2004,19,1,0
2004,27,1,0
2004,25,1,0.859682285379746
2004,17,1,1.2148221330419
2005,16,1,1.05203287197974
2005,18,1,1.25889299807722
2005,21,1,0.565187310842863
2005,20,1,0
2005,22,1,1.53548256276535
2005,24,1,1.99807885904472
2005,26,1,0
2005,23,1,0.641553801704044
2005,19,1,0
2005,27,1,0
2005,25,1,1.02861407821671
2005,17,1,1.12643682939945
2006,16,1,1.01886151541883
2006,18,1,1.13100753716825
2006,21,1,0.523456369862314
2006,20,1,0
2006,22,1,1.45556644015277
2006,24,1,1.84716119926513
2006,26,1,0
2006,23,1,0.606587422196405
2006,19,1,0
2006,27,1,0
2006,25,1,1.19917909252797
2006,17,1,0.893987610361844
2007,16,1,1.04103262432281
2007,18,1,1.16037441365383
2007,21,1,0.500666005472957
2007,20,1,0
2007,22,1,1.32758808428226
2007,24,1,1.76414546726046
2007,26,1,0
2007,23,1,0.708840595179387
2007,19,1,0
2007,27,1,0
2007,25,1,0.791959024545705
2007,17,1,1.28398400882769
2008,16,1,1.10402768236662
2008,18,1,1.20164494474468
2008,21,1,0.439215009392085
2008,20,1,0
2008,22,1,1.18014682742473
2008,24,1,1.69021573028384
2008,26,1,0
2008,23,1,0.634003253059251
2008,19,1,0
2008,27,1,0
2008,25,1,1.08144521665596
2008,17,1,1.17444694360925
2009,16,1,1.0381711934632
2009,18,1,0.964590392498467
2009,21,1,0.376678882352194
2009,20,1,0
2009,22,1,0.964497338795746
2009,24,1,1.46247432467276
2009,26,1,0
2009,23,1,0.584182996662855
2009,19,1,0
2009,27,1,0
2009,25,1,0.821463743966485
2009,17,1,1.01099058837452
2010,16,1,0.908861355705178
2010,18,1,0.860282192032755
2010,21,1,0.316676943781437
2010,20,1,0
2010,22,1,1.0727239355164
2010,24,1,1.43036236357594
2010,26,1,0
2010,23,1,0.522683084649911
2010,19,1,0
2010,27,1,0
2010,25,1,0.874327748826663
2010,17,1,0.785958573783309
2011,16,1,1.02698792743893
2011,18,1,0.971169299650568
2011,21,1,0.394564709358772
2011,20,1,0
2011,22,1,1.19006723952227
2011,24,1,1.91088107448456
2011,26,1,0
2011,23,1,0.755926990438588
2011,19,1,0
2011,27,1,0
2011,25,1,1.2532014570994
2011,17,1,0.89807708535557
2012,16,1,1.05315392427683
2012,18,1,0.953196280849203
2012,21,1,0.460208007093554
2012,20,1,0
2012,22,1,1.10227688547207
2012,24,1,2.02375809697621
2012,26,1,0
2012,23,1,0.823428056130972
2012,19,1,0
2012,27,1,0
2012,25,1,1.1443096475114
2012,17,1,1.07819882469711
2013,16,1,1.04107063555908
2013,18,1,0.912743422381994
2013,21,1,0.436868512079523
2013,20,1,0
2013,22,1,0.986318137328615
2013,24,1,1.82677811226719
2013,26,1,0
2013,23,1,0.608545363457152
2013,19,1,0
2013,27,1,0
2013,25,1,1.09201324626172
2013,17,1,0.975641288690012
2014,16,1,1.00562729129012
2014,18,1,1.01887272651218
2014,21,1,0.375037935438181
2014,20,1,0
2014,22,1,0.916850468060313
2014,24,1,1.95274182993731
2014,26,1,0
2014,23,1,0.57175471500546
2014,19,1,0
2014,27,1,0
2014,25,1,0.70612100604269
2014,17,1,0.831793851870573
2015,16,1,1.00945739900522
2015,18,1,0.817336760406498
2015,21,1,0.324606083810322
2015,20,1,0
2015,22,1,0.839647102613816
2015,24,1,1.60856390251892
2015,26,1,0
2015,23,1,0.516456251365659
2015,19,1,0
2015,27,1,0
2015,25,1,0.933590387106734
2015,17,1,0.741356273766352
2016,16,1,1.1178550678758
2016,18,1,0.95441016762332
2016,21,1,0.479966745532463
2016,20,1,0
2016,22,1,1.40076728405287
2016,24,1,2.09195784494442
2016,26,1,0
2016,23,1,0.748990766142924
2016,19,1,0
2016,27,1,0
2016,25,1,1.43182697141044
2016,17,1,0.953563999075786
2017,16,1,0.93199668570155
